period_start,period_end,revenue_lines,lines_using_revision_price,lines_using_printed_price,printed_till_revenue,historical_price_revenue,historical_minus_printed
2024-03-01,2024-03-31,64507,62636,1871,41971649.09,41971885.88,236.79
2024-12-01,2024-12-31,74511,72392,2119,50745259.48,50736426.71,-8832.77
