label,exact_jaccard,minhash_estimate,absolute_error
same,0.860177,0.868564,0.008387
same,0.554608,0.550136,0.004472
different,0.353698,0.378049,0.024351
different,0.315846,0.342818,0.026973
different,0.312287,0.330623,0.018337
different,0.281792,0.276423,0.005369
same,0.908735,0.917344,0.008609
same,0.562753,0.556911,0.005842
different,0.326493,0.336043,0.009551
different,0.272011,0.264228,0.007783
same,0.920755,0.930894,0.010140
different,0.224675,0.215447,0.009228
same,0.933635,0.934959,0.001324
different,0.292257,0.317073,0.024816
different,0.283175,0.268293,0.014883
different,0.200798,0.228997,0.028199
different,0.344743,0.323848,0.020895
same,0.940278,0.952575,0.012297
different,0.327566,0.315718,0.011848
same,0.635135,0.612466,0.022669
same,0.406639,0.425474,0.018835
different,0.318182,0.306233,0.011949
different,0.276836,0.289973,0.013137
different,0.330519,0.311653,0.018866
different,0.265464,0.199187,0.066277
different,0.288299,0.250678,0.037622
different,0.193929,0.220867,0.026938
different,0.231144,0.246612,0.015469
different,0.242119,0.246612,0.004494
different,0.260442,0.266938,0.006495
different,0.309032,0.258808,0.050224
different,0.266129,0.276423,0.010294
different,0.178191,0.196477,0.018285
different,0.209076,0.227642,0.018566
different,0.273537,0.266938,0.006599
same,0.729981,0.753388,0.023406
different,0.268414,0.299458,0.031044
same,0.958159,0.932249,0.025910
same,0.888587,0.915989,0.027402
different,0.311475,0.318428,0.006953
different,0.259524,0.254743,0.004781
same,0.872987,0.888889,0.015901
different,0.226614,0.226287,0.000327
different,0.238976,0.262873,0.023897
different,0.294872,0.264228,0.030644
different,0.292289,0.298103,0.005814
same,0.908929,0.911924,0.002996
different,0.324910,0.330623,0.005714
different,0.295238,0.303523,0.008285
same,0.656195,0.659892,0.003696
different,0.244083,0.238482,0.005600
same,0.950673,0.962060,0.011387
same,0.687117,0.665312,0.021805
same,0.828194,0.848238,0.020045
different,0.396552,0.425474,0.028923
different,0.228717,0.252033,0.023316
different,0.216339,0.223577,0.007238
same,0.472454,0.501355,0.028901
different,0.294675,0.285908,0.008767
different,0.336296,0.337398,0.001102
same,0.903879,0.901084,0.002795
same,0.903274,0.907859,0.004585
different,0.265711,0.258808,0.006904
same,0.857430,0.884824,0.027394
different,0.349845,0.344173,0.005672
different,0.207268,0.204607,0.002661
different,0.292186,0.285908,0.006278
same,0.959746,0.960705,0.000959
same,0.948113,0.963415,0.015301
different,0.268539,0.272358,0.003818
different,0.325282,0.348238,0.022957
different,0.275862,0.266938,0.008924
different,0.309434,0.308943,0.000491
different,0.238532,0.256098,0.017565
different,0.378438,0.420054,0.041616
different,0.313648,0.311653,0.001995
same,0.631858,0.669377,0.037518
different,0.301329,0.298103,0.003226
different,0.336614,0.367209,0.030594
same,0.929099,0.944444,0.015345
different,0.256348,0.262873,0.006524
different,0.340426,0.357724,0.017298
different,0.309979,0.291328,0.018651
same,0.594915,0.594851,0.000064
same,0.636986,0.663957,0.026970
