stage,runtime_ms,candidate_pairs,average_candidates,p95_candidates,max_candidates,same_labelled_survived,same_labelled_total
before,375.963,119164,19.8606666666666667,73.0,390,229,279
after,371.527,76349,12.7248333333333333,56.0,169,229,279
